#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
 485000      5.97e-01    4.81e-01      4.21e-03    9.48e-04      6.48e-02    5.25e-02    8.3e-05
 486000      6.36e-01    5.57e-01      2.07e-03    5.39e-04      6.94e-02    6.09e-02    8.3e-05
 487000      6.19e-01    6.97e-01      4.21e-03    6.90e-03      6.72e-02    7.61e-02    8.2e-05
 488000      6.53e-01    5.27e-01      2.33e-03    1.17e-03      7.16e-02    5.79e-02    8.2e-05
 489000      6.85e-01    6.59e-01      3.76e-03    2.63e-03      7.51e-02    7.24e-02    8.1e-05
 490000      6.69e-01    6.57e-01      6.06e-03    3.64e-03      7.30e-02    7.20e-02    8.1e-05
 491000      6.24e-01    3.20e-01      1.33e-03    2.38e-03      6.90e-02    3.55e-02    8.1e-05
 492000      9.13e-01    5.11e-01      3.00e-02    2.65e-02      7.47e-02    5.56e-02    8.0e-05
 493000      8.73e-01    3.30e-01      2.77e-02    2.44e-02      7.24e-02    3.53e-02    8.0e-05
 494000      6.52e-01    6.19e-01      2.55e-03    8.88e-04      7.25e-02    6.90e-02    7.9e-05
 495000      5.97e-01    5.83e-01      6.82e-04    3.71e-03      6.68e-02    6.51e-02    7.9e-05
 496000      7.28e-01    4.04e-01      1.20e-02    6.47e-03      7.78e-02    4.53e-02    7.9e-05
 497000      6.62e-01    6.50e-01      8.13e-03    5.58e-03      7.14e-02    7.17e-02    7.8e-05
 498000      6.51e-01    4.74e-01      3.20e-03    4.29e-03      7.30e-02    5.33e-02    7.8e-05
 499000      6.43e-01    5.78e-01      5.93e-03    6.49e-03      7.14e-02    6.32e-02    7.7e-05
 500000      6.69e-01    4.44e-01      5.68e-03    4.80e-03      7.33e-02    5.03e-02    7.7e-05
 501000      6.99e-01    6.44e-01      3.76e-03    2.42e-03      7.90e-02    7.29e-02    7.7e-05
 502000      6.39e-01    3.18e-01      7.24e-03    1.39e-02      7.06e-02    3.57e-02    7.6e-05
 503000      7.22e-01    4.29e-01      1.06e-02    4.19e-03      7.90e-02    4.89e-02    7.6e-05
 504000      7.49e-01    3.13e-01      1.98e-02    1.24e-02      7.38e-02    3.53e-02    7.5e-05
 505000      7.37e-01    6.89e-01      1.89e-02    1.68e-02      7.44e-02    6.82e-02    7.5e-05
 506000      6.26e-01    6.51e-01      3.36e-03    3.91e-03      7.16e-02    7.42e-02    7.5e-05
 507000      6.85e-01    6.51e-01      3.75e-03    2.10e-03      7.85e-02    7.49e-02    7.4e-05
 508000      6.34e-01    5.73e-01      2.64e-03    4.52e-05      7.29e-02    6.63e-02    7.4e-05
 509000      6.21e-01    4.70e-01      2.73e-03    3.38e-03      7.18e-02    5.44e-02    7.3e-05
 510000      6.98e-01    2.68e-01      1.44e-02    1.68e-02      7.32e-02    3.02e-02    7.3e-05
 511000      6.12e-01    3.15e-01      1.68e-03    5.26e-03      7.12e-02    3.66e-02    7.3e-05
 512000      6.33e-01    5.88e-01      2.94e-03    5.06e-06      7.28e-02    6.87e-02    7.2e-05
 513000      6.28e-01    5.56e-01      4.06e-03    1.28e-02      7.31e-02    6.36e-02    7.2e-05
 514000      6.34e-01    5.42e-01      8.84e-03    1.04e-02      7.13e-02    6.27e-02    7.2e-05
 515000      5.91e-01    3.74e-01      6.42e-03    1.35e-02      6.85e-02    4.36e-02    7.1e-05
 516000      5.75e-01    5.70e-01      7.46e-03    2.39e-03      6.43e-02    6.69e-02    7.1e-05
 517000      6.23e-01    6.28e-01      4.92e-03    3.49e-03      7.04e-02    7.37e-02    7.1e-05
 518000      6.52e-01    5.80e-01      7.35e-03    4.13e-03      7.38e-02    6.78e-02    7.0e-05
 519000      5.61e-01    3.17e-01      1.71e-03    2.73e-03      6.65e-02    3.77e-02    7.0e-05
 520000      6.25e-01    3.47e-01      6.12e-03    1.03e-03      7.17e-02    4.13e-02    6.9e-05
 521000      5.87e-01    2.89e-01      1.44e-03    1.40e-03      7.00e-02    3.45e-02    6.9e-05
 522000      6.14e-01    6.16e-01      2.06e-03    4.35e-03      7.33e-02    7.30e-02    6.9e-05
 523000      6.09e-01    3.24e-01      5.43e-03    4.98e-03      7.20e-02    3.87e-02    6.8e-05
 524000      5.79e-01    2.72e-01      2.39e-03    1.47e-03      6.94e-02    3.27e-02    6.8e-05
 525000      6.85e-01    4.07e-01      6.34e-03    1.94e-03      8.16e-02    4.90e-02    6.8e-05
 526000      6.22e-01    5.78e-01      8.10e-03    5.08e-03      7.12e-02    6.97e-02    6.7e-05
 527000      6.09e-01    3.35e-01      8.05e-04    1.06e-03      7.38e-02    4.07e-02    6.7e-05
 528000      5.81e-01    3.73e-01      4.02e-03    4.08e-03      7.00e-02    4.52e-02    6.7e-05
 529000      5.47e-01    4.56e-01      3.16e-03    1.18e-03      6.54e-02    5.56e-02    6.6e-05
 530000      5.63e-01    5.84e-01      3.44e-03    2.49e-03      6.81e-02    7.11e-02    6.6e-05
 531000      6.13e-01    3.13e-01      3.49e-03    9.84e-04      7.42e-02    3.83e-02    6.6e-05
 532000      5.96e-01    5.81e-01      5.13e-03    5.71e-03      7.18e-02    6.96e-02    6.5e-05
 533000      5.44e-01    5.75e-01      2.01e-03    5.20e-03      6.69e-02    7.05e-02    6.5e-05
 534000      5.72e-01    2.81e-01      1.39e-03    1.94e-03      7.06e-02    3.47e-02    6.5e-05
 535000      5.37e-01    5.30e-01      1.13e-03    6.10e-04      6.64e-02    6.55e-02    6.4e-05
 536000      5.78e-01    3.28e-01      4.96e-03    6.93e-03      7.07e-02    4.03e-02    6.4e-05
 537000      5.63e-01    2.93e-01      3.68e-03    2.89e-03      6.96e-02    3.64e-02    6.4e-05
 538000      5.74e-01    3.80e-01      5.55e-03    2.83e-04      6.99e-02    4.73e-02    6.3e-05
 539000      8.68e-01    5.26e-01      3.34e-02    4.01e-02      7.62e-02    5.65e-02    6.3e-05
 540000      5.37e-01    5.39e-01      3.88e-03    8.64e-04      6.49e-02    6.75e-02    6.3e-05
 541000      5.57e-01    2.44e-01      1.60e-03    1.53e-03      6.98e-02    3.06e-02    6.2e-05
 542000      5.38e-01    5.42e-01      4.29e-03    7.16e-03      6.71e-02    6.78e-02    6.2e-05
 543000      6.72e-01    6.00e-01      1.89e-02    2.76e-02      6.96e-02    6.85e-02    6.2e-05
 544000      5.82e-01    5.13e-01      1.34e-03    1.10e-03      7.36e-02    6.49e-02    6.1e-05
 545000      5.27e-01    3.39e-01      1.74e-03    2.21e-03      6.68e-02    4.30e-02    6.1e-05
 546000      5.75e-01    3.73e-01      3.67e-03    5.88e-03      7.24e-02    4.74e-02    6.1e-05
 547000      5.56e-01    4.21e-01      1.74e-03    1.41e-03      7.08e-02    5.37e-02    6.0e-05
 548000      5.34e-01    5.51e-01      1.07e-03    2.02e-04      6.83e-02    7.04e-02    6.0e-05
 549000      5.22e-01    4.65e-01      4.72e-03    2.71e-04      6.56e-02    5.96e-02    6.0e-05
 550000      5.54e-01    3.47e-01      1.07e-03    1.04e-03      7.11e-02    4.46e-02    6.0e-05
 551000      6.22e-01    4.34e-01      1.37e-02    2.39e-02      7.27e-02    5.20e-02    5.9e-05
 552000      5.48e-01    5.25e-01      4.08e-03    5.99e-04      6.88e-02    6.78e-02    5.9e-05
 553000      5.29e-01    4.14e-01      3.31e-03    6.24e-03      6.78e-02    5.31e-02    5.9e-05
 554000      6.07e-01    3.36e-01      9.14e-03    1.11e-02      7.62e-02    4.32e-02    5.8e-05
 555000      5.68e-01    2.73e-01      6.51e-03    6.94e-04      7.09e-02    3.55e-02    5.8e-05
 556000      5.64e-01    3.22e-01      5.14e-03    5.14e-03      7.22e-02    4.18e-02    5.8e-05
 557000      5.77e-01    2.51e-01      7.25e-03    5.59e-03      7.35e-02    3.27e-02    5.7e-05
 558000      5.39e-01    5.24e-01      1.23e-03    7.45e-04      7.06e-02    6.87e-02    5.7e-05
 559000      5.56e-01    5.36e-01      3.91e-03    3.62e-03      7.16e-02    6.96e-02    5.7e-05
 560000      5.66e-01    3.20e-01      4.10e-03    2.05e-03      7.42e-02    4.22e-02    5.7e-05
 561000      5.15e-01    5.26e-01      2.67e-03    2.54e-03      6.77e-02    6.91e-02    5.6e-05
 562000      5.09e-01    5.30e-01      1.46e-03    4.33e-05      6.73e-02    7.03e-02    5.6e-05
 563000      5.19e-01    5.36e-01      1.08e-03    1.83e-03      6.88e-02    7.09e-02    5.6e-05
 564000      6.25e-01    3.71e-01      2.35e-02    1.50e-02      6.81e-02    4.76e-02    5.5e-05
 565000      5.62e-01    3.35e-01      3.16e-03    4.04e-03      7.47e-02    4.46e-02    5.5e-05
 566000      5.20e-01    2.62e-01      1.34e-03    1.91e-03      6.95e-02    3.51e-02    5.5e-05
 567000      5.46e-01    2.07e-01      4.37e-03    4.22e-03      7.24e-02    2.77e-02    5.5e-05
 568000      5.52e-01    4.03e-01      1.10e-03    3.47e-04      7.42e-02    5.43e-02    5.4e-05
 569000      5.11e-01    2.64e-01      2.61e-03    2.73e-03      6.86e-02    3.56e-02    5.4e-05
 570000      5.36e-01    5.10e-01      3.17e-03    9.24e-04      7.04e-02    6.89e-02    5.4e-05
 571000      5.12e-01    3.16e-01      1.65e-03    1.21e-03      6.93e-02    4.28e-02    5.3e-05
 572000      5.28e-01    5.17e-01      6.31e-03    3.90e-03      6.99e-02    6.92e-02    5.3e-05
 573000      5.12e-01    5.06e-01      1.39e-03    2.80e-04      6.96e-02    6.90e-02    5.3e-05
 574000      4.94e-01    3.09e-01      1.06e-02    8.39e-03      6.38e-02    4.15e-02    5.3e-05
 575000      4.99e-01    2.72e-01      1.28e-03    3.39e-03      6.82e-02    3.72e-02    5.2e-05
 576000      6.58e-01    3.92e-01      1.86e-02    2.27e-02      7.25e-02    4.95e-02    5.2e-05
 577000      4.63e-01    5.47e-01      3.79e-03    6.92e-04      6.20e-02    7.53e-02    5.2e-05
 578000      5.17e-01    2.87e-01      1.40e-03    2.24e-03      7.11e-02    3.95e-02    5.2e-05
 579000      4.68e-01    1.82e-01      1.97e-03    5.07e-04      6.44e-02    2.52e-02    5.1e-05
 580000      4.82e-01    2.45e-01      1.62e-03    3.92e-03      6.66e-02    3.39e-02    5.1e-05
 581000      5.13e-01    2.21e-01      5.54e-03    4.00e-03      6.92e-02    3.06e-02    5.1e-05
 582000      4.87e-01    5.21e-01      1.72e-03    2.81e-03      6.77e-02    7.20e-02    5.1e-05
 583000      4.88e-01    4.62e-01      5.99e-03    5.47e-03      6.58e-02    6.41e-02    5.0e-05
 584000      5.14e-01    5.37e-01      2.24e-03    6.98e-03      7.17e-02    7.47e-02    5.0e-05
 585000      5.10e-01    2.47e-01      8.00e-03    1.02e-02      6.79e-02    3.42e-02    5.0e-05
 586000      4.95e-01    2.48e-01      1.42e-03    2.66e-04      6.94e-02    3.49e-02    5.0e-05
 587000      4.88e-01    4.97e-01      1.66e-03    9.87e-05      6.87e-02    7.01e-02    4.9e-05
 588000      5.33e-01    2.72e-01      6.95e-03    6.80e-03      7.18e-02    3.79e-02    4.9e-05
 589000      5.10e-01    5.02e-01      2.25e-03    2.10e-03      7.20e-02    7.09e-02    4.9e-05
 590000      5.00e-01    3.11e-01      4.21e-03    6.59e-03      7.00e-02    4.40e-02    4.9e-05
 591000      5.02e-01    2.95e-01      6.81e-03    4.19e-03      6.54e-02    4.19e-02    4.8e-05
 592000      4.83e-01    4.64e-01      2.13e-03    3.90e-04      6.87e-02    6.63e-02    4.8e-05
 593000      4.98e-01    2.52e-01      5.72e-04    5.06e-04      7.13e-02    3.60e-02    4.8e-05
 594000      4.83e-01    2.73e-01      2.06e-03    2.07e-03      6.91e-02    3.91e-02    4.8e-05
 595000      4.94e-01    4.95e-01      6.39e-03    7.45e-03      6.82e-02    6.68e-02    4.7e-05
 596000      5.17e-01    2.83e-01      8.86e-04    9.02e-04      7.46e-02    4.08e-02    4.7e-05
 597000      5.42e-01    2.65e-01      1.07e-02    8.27e-03      7.43e-02    3.75e-02    4.7e-05
 598000      4.70e-01    3.37e-01      2.21e-03    3.98e-03      6.78e-02    4.88e-02    4.7e-05
 599000      4.64e-01    4.95e-01      1.50e-03    4.40e-03      6.73e-02    7.05e-02    4.6e-05
 600000      4.79e-01    2.50e-01      2.12e-03    1.42e-03      6.86e-02    3.64e-02    4.6e-05
 601000      5.05e-01    4.72e-01      2.29e-03    1.20e-03      7.29e-02    6.89e-02    4.6e-05
 602000      4.77e-01    4.55e-01      1.56e-03    3.09e-04      6.97e-02    6.67e-02    4.6e-05
 603000      4.89e-01    2.31e-01      2.90e-03    3.81e-03      7.11e-02    3.39e-02    4.5e-05
 604000      4.46e-01    2.28e-01      2.82e-03    2.44e-03      6.50e-02    3.35e-02    4.5e-05
 605000      4.82e-01    3.56e-01      4.95e-03    7.24e-03      6.98e-02    5.20e-02    4.5e-05
 606000      4.83e-01    4.21e-01      2.87e-03    5.74e-03      7.07e-02    6.18e-02    4.5e-05
 607000      4.71e-01    4.55e-01      2.65e-03    1.16e-03      6.79e-02    6.75e-02    4.4e-05
 608000      4.62e-01    4.52e-01      7.36e-03    9.02e-04      6.72e-02    6.72e-02    4.4e-05
 609000      4.89e-01    3.31e-01      3.84e-03    2.65e-04      7.13e-02    4.94e-02    4.4e-05
 610000      4.81e-01    4.80e-01      2.18e-03    8.66e-04      7.12e-02    7.17e-02    4.4e-05
 611000      4.48e-01    4.83e-01      1.81e-03    1.48e-03      6.70e-02    7.22e-02    4.4e-05
 612000      4.57e-01    3.78e-01      4.03e-03    7.51e-03      6.79e-02    5.67e-02    4.3e-05
 613000      4.76e-01    4.92e-01      1.78e-03    1.66e-03      7.15e-02    7.38e-02    4.3e-05
 614000      5.08e-01    5.12e-01      9.22e-03    8.88e-03      7.19e-02    7.08e-02    4.3e-05
 615000      4.61e-01    2.01e-01      2.14e-03    3.30e-03      6.94e-02    3.03e-02    4.3e-05
 616000      4.49e-01    4.50e-01      9.84e-04    8.76e-04      6.81e-02    6.84e-02    4.2e-05
 617000      4.88e-01    5.68e-01      9.01e-03    1.23e-02      6.81e-02    7.69e-02    4.2e-05
 618000      4.38e-01    2.18e-01      2.00e-03    7.02e-04      6.65e-02    3.32e-02    4.2e-05
 619000      4.05e-01    2.67e-01      1.72e-03    1.34e-03      6.16e-02    4.08e-02    4.2e-05
 620000      4.55e-01    4.75e-01      7.16e-04    9.89e-04      6.97e-02    7.28e-02    4.2e-05
 621000      4.64e-01    4.77e-01      1.05e-03    2.85e-04      7.12e-02    7.33e-02    4.1e-05
 622000      4.77e-01    2.67e-01      1.24e-03    4.31e-03      7.35e-02    4.09e-02    4.1e-05
 623000      4.54e-01    2.30e-01      1.27e-03    1.03e-03      6.99e-02    3.55e-02    4.1e-05
 624000      4.39e-01    3.14e-01      1.69e-03    1.61e-03      6.76e-02    4.85e-02    4.1e-05
 625000      4.51e-01    3.08e-01      2.38e-03    2.31e-03      6.94e-02    4.77e-02    4.1e-05
 626000      4.49e-01    4.32e-01      1.90e-03    1.35e-03      6.97e-02    6.70e-02    4.0e-05
 627000      4.73e-01    2.53e-01      1.09e-02    2.16e-03      6.60e-02    3.94e-02    4.0e-05
 628000      4.67e-01    2.83e-01      8.16e-03    7.30e-03      6.77e-02    4.36e-02    4.0e-05
 629000      4.53e-01    4.37e-01      1.92e-03    5.28e-04      7.08e-02    6.84e-02    4.0e-05
 630000      4.47e-01    5.64e-01      2.08e-03    1.18e-03      6.96e-02    8.86e-02    4.0e-05
 631000      4.51e-01    3.90e-01      3.13e-03    1.73e-03      7.04e-02    6.12e-02    3.9e-05
 632000      4.60e-01    4.07e-01      6.76e-03    1.02e-02      6.96e-02    6.24e-02    3.9e-05
 633000      4.02e-01    2.08e-01      2.96e-03    2.32e-04      6.23e-02    3.29e-02    3.9e-05
 634000      5.38e-01    2.59e-01      1.65e-02    1.63e-02      6.70e-02    3.72e-02    3.9e-05
 635000      4.43e-01    2.56e-01      1.62e-03    3.17e-04      6.98e-02    4.07e-02    3.9e-05
 636000      4.17e-01    4.53e-01      2.73e-03    6.75e-04      6.54e-02    7.22e-02    3.8e-05
 637000      4.37e-01    3.02e-01      3.58e-03    4.35e-03      6.89e-02    4.83e-02    3.8e-05
 638000      4.73e-01    2.25e-01      8.68e-03    4.86e-03      6.93e-02    3.56e-02    3.8e-05
 639000      4.19e-01    4.29e-01      2.90e-03    1.20e-03      6.68e-02    6.89e-02    3.8e-05
 640000      4.63e-01    4.67e-01      6.68e-03    5.85e-03      6.99e-02    7.20e-02    3.8e-05
 641000      3.18e-01    4.44e-01      6.73e-03    1.55e-03      4.70e-02    7.14e-02    3.7e-05
 642000      4.24e-01    2.25e-01      1.04e-03    1.92e-03      6.85e-02    3.64e-02    3.7e-05
 643000      4.08e-01    4.56e-01      1.08e-03    5.21e-04      6.61e-02    7.41e-02    3.7e-05
 644000      4.59e-01    2.39e-01      4.57e-03    6.12e-03      7.26e-02    3.83e-02    3.7e-05
 645000      4.20e-01    2.58e-01      1.44e-03    1.76e-03      6.83e-02    4.21e-02    3.7e-05
 646000      4.52e-01    3.79e-01      8.95e-03    3.24e-03      6.63e-02    6.19e-02    3.6e-05
 647000      4.16e-01    3.40e-01      3.00e-03    3.43e-03      6.74e-02    5.56e-02    3.6e-05
 648000      4.13e-01    4.23e-01      1.08e-03    4.26e-04      6.78e-02    6.95e-02    3.6e-05
 649000      4.35e-01    2.61e-01      6.64e-03    6.43e-03      6.81e-02    4.24e-02    3.6e-05
 650000      4.23e-01    4.20e-01      3.06e-03    2.57e-03      6.89e-02    6.87e-02    3.6e-05
 651000      4.32e-01    4.17e-01      1.07e-03    3.00e-03      7.15e-02    6.89e-02    3.5e-05
 652000      4.11e-01    2.87e-01      2.40e-03    3.23e-03      6.71e-02    4.77e-02    3.5e-05
 653000      4.04e-01    4.39e-01      1.86e-03    2.79e-04      6.69e-02    7.30e-02    3.5e-05
 654000      4.31e-01    4.80e-01      5.57e-03    2.54e-02      6.94e-02    6.97e-02    3.5e-05
 655000      4.38e-01    2.03e-01      3.27e-03    4.46e-04      7.16e-02    3.40e-02    3.5e-05
 656000      4.62e-01    3.03e-01      5.13e-03    1.66e-03      7.52e-02    5.08e-02    3.5e-05
 657000      4.22e-01    3.36e-01      1.97e-03    1.78e-03      7.07e-02    5.65e-02    3.4e-05
 658000      4.12e-01    1.83e-01      3.34e-03    2.62e-03      6.84e-02    3.08e-02    3.4e-05
 659000      4.01e-01    4.07e-01      3.04e-03    1.75e-03      6.59e-02    6.84e-02    3.4e-05
 660000      4.21e-01    2.20e-01      1.73e-03    2.35e-03      7.10e-02    3.72e-02    3.4e-05
 661000      3.91e-01    2.23e-01      1.67e-03    3.90e-03      6.63e-02    3.78e-02    3.4e-05
 662000      4.15e-01    4.01e-01      5.30e-03    1.21e-03      6.86e-02    6.83e-02    3.4e-05
 663000      4.31e-01    2.00e-01      4.32e-03    1.89e-03      7.19e-02    3.40e-02    3.3e-05
 664000      4.27e-01    4.27e-01      2.43e-03    1.26e-03      7.26e-02    7.28e-02    3.3e-05
 665000      3.58e-01    2.22e-01      1.84e-03    1.97e-03      6.12e-02    3.81e-02    3.3e-05
 666000      3.98e-01    3.47e-01      2.69e-03    2.01e-03      6.76e-02    5.96e-02    3.3e-05
 667000      4.06e-01    3.81e-01      3.35e-03    5.69e-03      6.89e-02    6.55e-02    3.3e-05
 668000      4.12e-01    2.25e-01      1.07e-02    1.14e-02      6.34e-02    3.81e-02    3.3e-05
 669000      3.96e-01    4.21e-01      3.46e-03    2.17e-04      6.59e-02    7.30e-02    3.2e-05
 670000      4.00e-01    2.68e-01      1.42e-03    4.28e-03      6.93e-02    4.62e-02    3.2e-05
 671000      4.13e-01    2.72e-01      2.95e-03    2.92e-03      7.10e-02    4.71e-02    3.2e-05
 672000      3.89e-01    3.04e-01      1.12e-03    1.75e-03      6.78e-02    5.30e-02    3.2e-05
 673000      4.00e-01    1.94e-01      8.81e-04    1.24e-03      6.98e-02    3.39e-02    3.2e-05
 674000      3.89e-01    2.37e-01      1.14e-03    1.32e-03      6.81e-02    4.16e-02    3.2e-05
 675000      3.94e-01    2.56e-01      1.23e-03    2.49e-04      6.91e-02    4.50e-02    3.1e-05
 676000      3.77e-01    2.64e-01      1.83e-03    3.88e-03      6.62e-02    4.65e-02    3.1e-05
 677000      4.05e-01    3.71e-01      4.03e-03    2.26e-03      7.01e-02    6.50e-02    3.1e-05
 678000      4.46e-01    3.41e-01      1.03e-02    8.98e-03      7.13e-02    5.86e-02    3.1e-05
 679000      3.95e-01    3.38e-01      3.48e-03    4.55e-04      6.70e-02    6.00e-02    3.1e-05
 680000      3.83e-01    1.79e-01      8.01e-04    8.87e-04      6.81e-02    3.19e-02    3.1e-05
 681000      3.88e-01    1.70e-01      2.04e-03    2.81e-03      6.87e-02    3.03e-02    3.0e-05
 682000      4.86e-01    2.31e-01      1.49e-02    1.80e-02      6.61e-02    3.93e-02    3.0e-05
 683000      4.00e-01    2.39e-01      2.79e-03    1.82e-03      7.07e-02    4.28e-02    3.0e-05
 684000      3.83e-01    2.55e-01      1.58e-03    4.14e-03      6.86e-02    4.58e-02    3.0e-05
 685000      3.67e-01    3.61e-01      1.10e-03    1.86e-03      6.60e-02    6.50e-02    3.0e-05
 686000      3.88e-01    2.64e-01      1.80e-03    9.45e-04      6.98e-02    4.76e-02    3.0e-05
 687000      3.93e-01    2.67e-01      2.42e-03    4.40e-03      7.03e-02    4.78e-02    2.9e-05
 688000      3.87e-01    2.24e-01      3.10e-03    9.57e-04      6.92e-02    4.06e-02    2.9e-05
 689000      3.80e-01    2.33e-01      2.86e-03    7.11e-04      6.75e-02    4.25e-02    2.9e-05
 690000      3.65e-01    1.89e-01      1.26e-03    2.13e-03      6.65e-02    3.44e-02    2.9e-05
 691000      4.06e-01    4.16e-01      1.72e-03    8.30e-03      7.38e-02    7.48e-02    2.9e-05
 692000      3.63e-01    3.55e-01      7.43e-04    6.79e-04      6.65e-02    6.50e-02    2.9e-05
 693000      3.60e-01    2.51e-01      1.72e-03    5.36e-03      6.60e-02    4.60e-02    2.9e-05
 694000      3.70e-01    4.06e-01      2.48e-03    1.71e-04      6.63e-02    7.48e-02    2.8e-05
 695000      3.82e-01    2.56e-01      3.86e-03    2.44e-03      6.89e-02    4.71e-02    2.8e-05
 696000      3.73e-01    2.87e-01      3.35e-03    1.00e-03      6.76e-02    5.32e-02    2.8e-05
 697000      3.57e-01    3.57e-01      9.62e-04    9.38e-04      6.62e-02    6.62e-02    2.8e-05
 698000      3.98e-01    1.38e-01      6.75e-03    4.62e-03      7.00e-02    2.54e-02    2.8e-05
 699000      3.69e-01    3.75e-01      6.34e-04    1.28e-03      6.87e-02    6.97e-02    2.8e-05
 700000      3.73e-01    2.28e-01      2.51e-03    4.47e-03      6.91e-02    4.26e-02    2.8e-05
 701000      3.62e-01    2.56e-01      7.57e-04    1.89e-03      6.78e-02    4.80e-02    2.7e-05
 702000      3.77e-01    3.79e-01      2.27e-03    2.20e-03      7.03e-02    7.06e-02    2.7e-05
 703000      3.65e-01    2.34e-01      1.99e-03    3.27e-03      6.84e-02    4.40e-02    2.7e-05
 704000      3.80e-01    2.36e-01      4.85e-03    4.14e-03      6.92e-02    4.40e-02    2.7e-05
 705000      3.63e-01    3.94e-01      2.39e-03    1.89e-03      6.83e-02    7.42e-02    2.7e-05
 706000      3.75e-01    1.55e-01      8.05e-03    1.10e-02      6.53e-02    2.83e-02    2.7e-05
 707000      3.20e-01    1.81e-01      2.49e-03    1.40e-03      6.02e-02    3.45e-02    2.7e-05
 708000      3.74e-01    2.53e-01      6.19e-03    8.95e-03      6.84e-02    4.69e-02    2.6e-05
 709000      3.81e-01    3.80e-01      4.81e-03    4.16e-03      6.98e-02    7.23e-02    2.6e-05
 710000      3.67e-01    2.60e-01      2.22e-03    2.28e-03      6.95e-02    4.97e-02    2.6e-05
 711000      3.57e-01    2.26e-01      1.39e-03    1.75e-03      6.83e-02    4.34e-02    2.6e-05
 712000      3.45e-01    2.64e-01      1.15e-03    1.74e-03      6.64e-02    5.08e-02    2.6e-05
 713000      3.48e-01    2.81e-01      4.22e-03    4.13e-03      6.53e-02    5.43e-02    2.6e-05
 714000      3.55e-01    3.57e-01      1.53e-03    1.39e-04      6.82e-02    6.92e-02    2.6e-05
 715000      3.28e-01    2.44e-01      4.05e-03    4.38e-03      6.24e-02    4.72e-02    2.6e-05
 716000      3.64e-01    2.38e-01      1.75e-03    3.50e-03      7.05e-02    4.63e-02    2.5e-05
 717000      3.32e-01    2.98e-01      2.99e-03    2.82e-03      6.31e-02    5.81e-02    2.5e-05
 718000      3.53e-01    3.63e-01      1.96e-03    2.08e-03      6.85e-02    7.04e-02    2.5e-05
 719000      3.50e-01    2.29e-01      2.04e-03    3.55e-03      6.79e-02    4.46e-02    2.5e-05
 720000      3.57e-01    2.43e-01      7.08e-03    4.44e-03      6.57e-02    4.73e-02    2.5e-05
 721000      3.83e-01    1.68e-01      6.02e-03    7.50e-03      7.26e-02    3.26e-02    2.5e-05
 722000      3.69e-01    3.35e-01      5.33e-03    2.82e-04      6.85e-02    6.61e-02    2.5e-05
 723000      3.66e-01    2.99e-01      5.72e-03    3.51e-03      6.91e-02    5.88e-02    2.5e-05
 724000      3.49e-01    2.06e-01      5.15e-03    6.64e-03      6.73e-02    4.06e-02    2.4e-05
 725000      3.77e-01    2.57e-01      4.21e-03    8.91e-04      7.14e-02    5.12e-02    2.4e-05
 726000      3.78e-01    2.07e-01      7.07e-03    6.06e-03      6.99e-02    4.04e-02    2.4e-05
 727000      3.79e-01    1.81e-01      7.77e-03    2.48e-03      7.01e-02    3.61e-02    2.4e-05
 728000      3.51e-01    3.41e-01      2.89e-03    1.11e-04      6.88e-02    6.83e-02    2.4e-05
 729000      3.47e-01    3.28e-01      2.77e-03    3.69e-03      6.88e-02    6.56e-02    2.4e-05
 730000      3.37e-01    3.53e-01      1.95e-03    2.72e-03      6.72e-02    7.00e-02    2.4e-05
 731000      3.61e-01    1.94e-01      2.96e-03    4.20e-03      7.21e-02    3.87e-02    2.4e-05
 732000      3.48e-01    2.80e-01      5.46e-03    1.18e-02      6.51e-02    5.20e-02    2.3e-05
 733000      3.60e-01    3.56e-01      4.49e-03    2.37e-03      7.06e-02    7.20e-02    2.3e-05
 734000      3.38e-01    2.62e-01      1.88e-03    5.28e-04      6.74e-02    5.34e-02    2.3e-05
 735000      3.40e-01    3.47e-01      1.82e-03    3.32e-03      6.89e-02    6.90e-02    2.3e-05
 736000      3.59e-01    3.64e-01      4.74e-03    3.05e-03      6.92e-02    7.29e-02    2.3e-05
 737000      3.60e-01    3.18e-01      1.00e-02    2.56e-03      6.64e-02    6.41e-02    2.3e-05
 738000      3.68e-01    2.22e-01      8.18e-03    5.79e-04      6.78e-02    4.55e-02    2.3e-05
 739000      3.45e-01    2.82e-01      2.80e-03    3.10e-05      6.97e-02    5.81e-02    2.3e-05
 740000      3.65e-01    3.22e-01      5.70e-03    4.40e-03      7.02e-02    6.31e-02    2.2e-05
 741000      4.07e-01    2.48e-01      1.57e-02    2.85e-03      6.89e-02    5.10e-02    2.2e-05
 742000      3.18e-01    3.21e-01      2.78e-03    1.23e-03      6.37e-02    6.64e-02    2.2e-05
 743000      3.49e-01    1.91e-01      4.76e-03    5.95e-03      6.94e-02    3.89e-02    2.2e-05
 744000      3.32e-01    1.85e-01      4.94e-03    1.86e-03      6.53e-02    3.84e-02    2.2e-05
 745000      3.37e-01    1.29e-01      2.71e-03    1.40e-03      6.90e-02    2.69e-02    2.2e-05
 746000      3.79e-01    2.10e-01      8.92e-03    2.49e-03      7.18e-02    4.38e-02    2.2e-05
