#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  58000      4.60e+00    4.22e+00      7.85e-02    7.43e-02      1.66e-01    1.51e-01    7.4e-04
  59000      3.35e+00    2.22e+00      2.66e-02    2.23e-02      1.23e-01    8.17e-02    7.4e-04
  60000      4.17e+00    2.90e+00      6.16e-02    3.76e-02      1.51e-01    1.07e-01    7.4e-04
  61000      3.24e+00    3.24e+00      1.85e-03    1.08e-03      1.20e-01    1.20e-01    7.3e-04
  62000      2.99e+00    2.89e+00      2.39e-02    4.59e-02      1.11e-01    1.07e-01    7.3e-04
  63000      3.33e+00    3.66e+00      3.34e-02    2.57e-02      1.23e-01    1.36e-01    7.2e-04
  64000      3.20e+00    2.97e+00      7.02e-02    1.09e-01      1.16e-01    1.09e-01    7.2e-04
  65000      3.73e+00    2.13e+00      4.08e-02    1.71e-02      1.37e-01    7.95e-02    7.2e-04
  66000      2.95e+00    2.40e+00      7.86e-03    3.12e-02      1.11e-01    8.97e-02    7.1e-04
  67000      3.18e+00    2.59e+00      1.60e-02    1.89e-02      1.19e-01    9.70e-02    7.1e-04
  68000      4.33e+00    2.79e+00      5.49e-02    4.24e-02      1.58e-01    1.05e-01    7.1e-04
  69000      2.87e+00    2.86e+00      6.89e-03    6.55e-03      1.08e-01    1.08e-01    7.0e-04
  70000      3.10e+00    2.33e+00      1.06e-02    1.12e-03      1.17e-01    8.82e-02    7.0e-04
  71000      3.12e+00    2.96e+00      1.58e-02    5.27e-03      1.18e-01    1.12e-01    6.9e-04
  72000      2.86e+00    2.09e+00      8.59e-03    3.13e-02      1.09e-01    7.93e-02    6.9e-04
  73000      5.09e+00    2.53e+00      7.07e-03    1.48e-02      1.94e-01    9.62e-02    6.9e-04
  74000      4.30e+00    4.84e+00      1.21e-01    1.27e-01      1.57e-01    1.73e-01    6.8e-04
  75000      3.26e+00    3.60e+00      3.70e-02    4.29e-02      1.24e-01    1.38e-01    6.8e-04
  76000      3.34e+00    2.20e+00      6.11e-02    6.34e-02      1.24e-01    8.41e-02    6.8e-04
